姓名 (請填中文真實姓名),Email,手機,所在城市,服務機構,職稱,過去 14 天是否有發燒、咳嗽或呼吸急促症狀？（已服藥者亦須勾選「是」）,過去 14 天是否曾出國至其他境外地區？,同住親友是否有收到居家隔離通知單？,Timestamp
束靜宜,jacelyn.schmeler@hotmail.com,0976951027,臺北市,,Android App Developer,否,是,否,8/23/2021 3:35:27
遊淑娟,nicolas.romaguera@gmail.com,0955258062,臺北市,,iOS 開發者,否,否,否,8/23/2021 10:31:43
桓雅芬,williams.maggio@gmail.com,0932664714,臺東縣,,,否,否,否,8/23/2021 14:4:6
慎佳玲,janeen.hamill@hotmail.com,0970795718,澎湖縣,,,否,否,否,8/24/2021 6:9:33
桂心怡,chadwick.walter@gmail.com,0970185587,桃園市,,總工程師,否,否,否,8/24/2021 23:14:4
焦靜雯,angele.hagenes@hotmail.com,0945118663,高雄市,,,否,否,否,8/25/2021 3:39:22
藍雅惠,weston.vandervort@hotmail.com,0998908602,臺中市,,,是,否,是,8/25/2021 4:13:15
蓬俊豪,sherril.moore.i@gmail.com,0921101189,嘉義市,徐離欣怡人壽,,否,否,否,8/25/2021 8:54:20
于志遠,krystle.farrell.dds@hotmail.com,0957227822,臺東縣,,,否,否,否,8/25/2021 13:4:39
包嘉宏,refugio.beahan@hotmail.com,0977019118,宜蘭縣,,,否,否,否,8/25/2021 13:34:4
繆慧如,msgr.mardell.heaney@gmail.com,0913130738,嘉義縣,,Android 開發者,否,否,否,8/25/2021 13:38:50
古惠玲,sharda.hammes.iii@gmail.com,0933120238,花蓮縣,,,否,否,否,8/25/2021 18:6:19
曹佳蓉,msgr.ayana.graham@gmail.com,0932491318,臺中市,,,否,否,否,8/25/2021 21:21:53
冷淑芬,carrol.halvorson@hotmail.com,0955537431,澎湖縣,穀建良銀行,,否,否,否,8/25/2021 21:36:34
黎欣儀,gerry.gislason@hotmail.com,0983741743,連江縣,朱雅芬人壽,,否,是,否,8/25/2021 23:23:29
姚佩君,zandra.abshire.jd@gmail.com,0989190761,彰化縣,山佳琪銀行,iOS 開發者,否,否,否,8/26/2021 5:8:45
於佳樺,angelia.welch.v@gmail.com,0958796790,高雄市,,,否,否,否,8/26/2021 7:12:31
雲佳玲,fr.mendy.breitenberg@yahoo.com,0910250951,臺北市,,,否,否,否,8/26/2021 13:35:1
畢雅萍,jules.flatley@hotmail.com,0955466126,臺南市,,後端開發者,否,否,否,8/26/2021 19:53:9
夏淑萍,annika.robel@hotmail.com,0923028804,新竹縣,蒯馨儀銀行,,是,否,否,8/27/2021 3:41:59
簡美慧,christia.will.jr@hotmail.com,0900323336,臺北市,,,否,否,否,8/27/2021 11:42:8
韶佳慧,mira.kunze@yahoo.com,0985855402,金門縣,,,否,否,否,8/27/2021 14:46:30
史家豪,glenna.crooks@yahoo.com,0983187611,高雄市,,,否,否,否,8/27/2021 19:15:51
晁宜芳,leonia.braun.esq@yahoo.com,0940212019,臺南市,,,否,否,否,8/27/2021 21:56:21
藺雅鈴,ivan.mraz@hotmail.com,0919585493,苗栗縣,,,否,是,否,8/27/2021 22:22:46
任佳蓉,denny.hegmann@gmail.com,0922311756,屏東縣,,,否,否,否,8/28/2021 10:30:33
詹心怡,emelina.runolfsdottir@gmail.com,0942264863,雲林縣,,前端開發者,否,否,否,8/28/2021 14:55:33
澹台怡伶,mallory.mann@yahoo.com,0946997463,雲林縣,,,否,否,否,8/28/2021 19:33:10
萬俟淑玲,dahlia.dare.jr@yahoo.com,0970232741,臺南市,,,否,否,否,8/28/2021 21:40:39
閔佩珊,kenton.sauer.md@yahoo.com,0901641310,花蓮縣,,,否,是,否,8/29/2021 4:12:2
文佳慧,cherryl.bernhard@gmail.com,0913524255,澎湖縣,焦美慧企業,,否,否,否,8/29/2021 4:49:50
周惠君,mario.towne@hotmail.com,0995439314,雲林縣,,,否,否,否,8/29/2021 5:34:21
鳳筱婷,odell.stroman@hotmail.com,0995996268,苗栗縣,鈄志豪有限公司,總工程師,否,否,否,8/29/2021 7:12:17
能志宏,roberto.kemmer@gmail.com,0909088708,基隆市,,,否,否,否,8/29/2021 8:10:31
東慧如,mrs.odis.weimann@hotmail.com,0919640003,桃園市,,,否,否,否,8/29/2021 9:40:18
臧宜君,genaro.bartoletti@hotmail.com,0973846990,連江縣,,助理工程師,否,否,否,8/29/2021 10:31:31
甄淑芬,randy.kerluke@yahoo.com,0918029175,花蓮縣,扈俊男股份有限公司,前端開發者,否,否,否,8/29/2021 11:49:50
邊欣怡,jesse.konopelski@yahoo.com,0908482549,彰化縣,,,否,否,否,8/29/2021 11:59:20
伊宜君,giuseppe.howe@yahoo.com,0994071522,新北市,,後端開發者,否,否,否,8/29/2021 12:19:38
沈嘉宏,randall.cartwright@gmail.com,0960747372,臺中市,,,否,否,否,8/29/2021 15:23:2
樊雅惠,brendon.gislason@gmail.com,0953379300,新竹縣,,,否,否,否,8/29/2021 17:31:24
郜惠如,keiko.pacocha.sr@gmail.com,0907620345,高雄市,,,否,否,否,8/29/2021 17:39:35
衡俊豪,pres.donald.kerluke@hotmail.com,0930553355,嘉義市,封淑芬證券,前端開發者,否,否,否,8/29/2021 20:42:55
郜佩玲,larae.kiehn.jd@gmail.com,0928327891,新竹縣,,,否,否,否,8/30/2021 7:8:30
郭信宏,fr.darrin.bailey@gmail.com,0923763186,臺中市,,前端開發者,否,否,否,8/30/2021 10:52:24
莘淑華,sherman.dubuque.esq@hotmail.com,0964598723,雲林縣,湛智偉股份有限公司,,否,否,否,8/30/2021 21:2:18
羿佳蓉,palma.sauer.dvm@hotmail.com,0930823728,澎湖縣,,,否,否,否,8/31/2021 5:12:10
居淑娟,jean.ritchie.iv@yahoo.com,0971747988,嘉義市,,,否,是,否,8/31/2021 6:1:53
武芳儀,damon.vandervort@hotmail.com,0925023437,澎湖縣,,技術總監,否,是,是,8/31/2021 7:12:28
包家榮,hai.denesik@hotmail.com,0905399432,臺北市,,,否,否,是,8/31/2021 10:55:6
藍俊豪,elsie.vandervort.lld@hotmail.com,0983223985,嘉義市,,後端開發者,否,否,否,8/31/2021 11:15:59
越淑婷,jewell.kling.cpa@hotmail.com,0903936514,花蓮縣,,,否,否,否,8/31/2021 13:2:28
汪佳蓉,son.mcclure@hotmail.com,0946498598,苗栗縣,,iOS 開發者,否,是,否,8/31/2021 15:12:57
裴佳穎,pres.felton.veum@gmail.com,0906463203,臺中市,,,否,否,否,8/31/2021 15:20:43
扶雅琪,earlene.hilpert.phd@yahoo.com,0950694966,高雄市,韓靜儀企業,,否,否,否,8/31/2021 15:37:2
舒俊豪,junior.leannon@gmail.com,0965077029,高雄市,,iOS 開發者,否,是,否,8/31/2021 16:5:57
包詩婷,cecille.senger@gmail.com,0986043117,南投縣,,,是,否,否,8/31/2021 22:26:21
暴雅慧,msgr.alex.corkery@gmail.com,0941828535,臺中市,,,否,否,否,8/31/2021 23:7:29
