姓名 (請填中文真實姓名),Email,手機,所在城市,服務機構,職稱,過去 14 天是否有發燒、咳嗽或呼吸急促症狀？（已服藥者亦須勾選「是」）,過去 14 天是否曾出國至其他境外地區？,同住親友是否有收到居家隔離通知單？,Timestamp
宿淑慧,emery.huels@yahoo.com,0984988987,屏東縣,敖家瑋電腦,前端開發者,否,否,否,3/15/2021 11:12:3
暴淑玲,brenda.gulgowski@gmail.com,0904674917,嘉義市,宇文鈺婷網,Android App Developer,否,否,否,3/16/2021 2:45:38
富家豪,eli.kris@hotmail.com,0918120653,屏東縣,,iOS 開發者,是,是,否,3/16/2021 3:20:35
充佳玲,leonardo.hintz@yahoo.com,0965165440,連江縣,,Android Developer,否,是,是,3/16/2021 3:35:43
強筱婷,nestor.homenick@hotmail.com,0939452722,金門縣,,Android 工程師,否,否,否,3/16/2021 5:19:25
巫雅鈴,silas.zboncak@hotmail.com,0970247497,桃園市,,,否,否,否,3/16/2021 7:18:4
阮怡君,msgr.carlotta.herman@hotmail.com,0908340341,桃園市,,,否,是,否,3/16/2021 8:14:20
索雅萍,msgr.cyril.gleichner@yahoo.com,0925734347,新北市,荊嘉慧人壽,Android 開發者,否,否,否,3/16/2021 8:18:45
儲惠如,bennie.simonis@yahoo.com,0971618499,南投縣,曹淑慧人壽,,否,否,否,3/16/2021 10:24:45
浦筱婷,amelia.hintz@hotmail.com,0901990017,新竹縣,,,否,否,否,3/16/2021 10:31:41
蒙佳慧,clayton.funk.jd@hotmail.com,0977867524,宜蘭縣,,iOS 開發者,否,否,否,3/16/2021 11:54:49
扶佩玲,adolfo.hansen@yahoo.com,0965078711,宜蘭縣,,,否,否,否,3/16/2021 14:22:30
宗馨儀,mrs.tyree.orn@gmail.com,0939747699,新竹市,,,是,否,否,3/16/2021 14:29:47
石惠婷,claribel.hagenes@yahoo.com,0969953294,桃園市,,總工程師,否,否,否,3/16/2021 14:56:6
公佳慧,julius.stoltenberg@yahoo.com,0914361474,新竹市,,Android 工程師,否,否,否,3/16/2021 18:41:18
仇鈺婷,pres.nathanial.schamberger@gmail.com,0978402762,苗栗縣,,後端開發者,否,否,否,3/16/2021 21:25:8
束佳慧,mr.kam.miller@gmail.com,0935046865,嘉義縣,,,否,否,否,3/16/2021 23:49:41
夏侯建文,monroe.boehm@hotmail.com,0972425322,臺北市,,,否,否,否,3/17/2021 7:54:21
那心怡,esteban.johns@yahoo.com,0905487892,南投縣,淩淑華企業,,否,否,否,3/17/2021 20:18:1
程郁婷,tia.stiedemann.dds@hotmail.com,0902367247,桃園市,計千慧證券,,否,否,是,3/17/2021 22:25:37
夔佳琪,amb.sina.donnelly@hotmail.com,0937640727,臺東縣,,Android 工程師,否,否,否,3/18/2021 1:51:14
祖佩芬,raquel.doyle.iii@hotmail.com,0910794307,臺東縣,,,否,否,否,3/18/2021 2:7:59
黃慧如,the.hon.jerrell.terry@gmail.com,0966828738,彰化縣,,,是,否,否,3/18/2021 14:39:47
鞠嘉宏,wanetta.fisher@hotmail.com,0914772189,屏東縣,,技術總監,否,否,否,3/18/2021 21:23:23
井怡伶,nathanial.torp@gmail.com,0968929591,臺北市,尉遲靜怡銀行,實習生,否,否,否,3/19/2021 1:19:46
全智偉,graig.hegmann@yahoo.com,0982111470,金門縣,,,否,否,是,3/19/2021 2:47:15
鄭惠婷,ms.connie.hane@gmail.com,0997892093,雲林縣,卓雅婷有限公司,Android 工程師,否,否,否,3/19/2021 3:39:45
盍嘉慧,josh.davis@hotmail.com,0931122766,基隆市,,實習生,否,否,否,3/19/2021 4:49:52
益怡君,mary.vandervort.jr@gmail.com,0982817475,連江縣,,,否,否,否,3/19/2021 6:39:26
溥馨儀,dia.ward@hotmail.com,0942306260,雲林縣,嚴家銘網,前端開發者,否,否,否,3/19/2021 6:46:15
虞怡伶,rebeca.kuhic.jd@gmail.com,0960182071,澎湖縣,,,否,是,否,3/19/2021 6:51:29
雲惠婷,christoper.medhurst@gmail.com,0945921535,連江縣,,,是,否,否,3/19/2021 7:8:53
宗政雅鈴,mario.torp@gmail.com,0968903213,連江縣,,前端開發者,否,否,否,3/19/2021 15:33:22
夏侯怡伶,kirby.windler@gmail.com,0977645072,基隆市,,實習生,否,否,否,3/19/2021 18:38:58
徐志銘,nigel.heaney@yahoo.com,0900572834,澎湖縣,,,是,否,否,3/19/2021 20:22:2
諸美玲,shaniqua.hermiston@yahoo.com,0980119120,臺東縣,,,否,否,否,3/19/2021 20:37:21
廉俊豪,alfredo.hintz.sr@gmail.com,0975717021,臺中市,蒲惠婷股份有限公司,,否,否,否,3/19/2021 21:55:26
茅玉婷,jenee.lebsack@gmail.com,0902941888,新竹市,益韻如股份有限公司,後端開發者,否,否,否,3/19/2021 23:51:9
長孫欣怡,olive.schiller@hotmail.com,0903401905,宜蘭縣,,,否,否,否,3/20/2021 1:37:44
包家榮,hai.denesik@hotmail.com,0905399432,臺北市,,,否,否,是,3/20/2021 7:57:9
應玉婷,marcellus.dooley@yahoo.com,0931458092,澎湖縣,房韻如企業,實習生,否,否,否,3/20/2021 11:19:20
卻靜儀,dick.mante.phd@yahoo.com,0977481517,雲林縣,,,否,否,是,3/20/2021 11:49:6
熊佳慧,carlos.effertz@gmail.com,0970729099,臺中市,,Android 開發者,否,否,否,3/20/2021 15:35:28
慎佩玲,kimberlee.littel@hotmail.com,0954234185,桃園市,葛家瑋企業,,否,否,否,3/20/2021 22:19:11
